variable_x,variable_y,method,coefficient,raw_p_value,bh_adjusted_p_value,n
wheel_torque_rr,cumulative_distance_m,pearson,-0.30023104436236731,2.1934013106462922e-207,8.5298939858466917e-207,10000
wheel_torque_rr,wheel_imbalance_score,pearson,-0.063514635260758845,2.0561360190876317e-10,3.0407645352704411e-10,10000
wheel_torque_rr,lidar_saturation_rate,pearson,-0.071973989202641947,5.7684805676806295e-13,9.0401561135293446e-13,10000
wheel_torque_rr,composite_health_score,pearson,0.22906069240738708,3.4059779813184316e-119,9.665613190227982e-119,10000
ambient_temp_c,battery_soc_roll_mean_50,pearson,0.77230993387745817,0,0,10000
ambient_temp_c,battery_soc_roll_std_50,pearson,0.006557362887092918,0.5120420323680519,0.56004597290255675,10000
ambient_temp_c,cumulative_distance_m,pearson,-0.77376100129511116,0,0,10000
ambient_temp_c,wheel_imbalance_score,pearson,-0.023094596820394706,0.020917016809119487,0.025244675459282138,10000
ambient_temp_c,lidar_saturation_rate,pearson,0.019810102153335788,0.047596101540500736,0.055528785130584186,10000
ambient_temp_c,composite_health_score,pearson,0.56327441541466294,0,0,10000
battery_soc_roll_mean_50,battery_soc_roll_std_50,pearson,-0.055956625646354473,2.1515675516561952e-08,3.0947204510123354e-08,10000
battery_soc_roll_mean_50,cumulative_distance_m,pearson,-0.99158148915081012,0,0,10000
battery_soc_roll_mean_50,wheel_imbalance_score,pearson,-0.031694220612704695,0.001525322732237701,0.0019531571571336417,10000
battery_soc_roll_mean_50,lidar_saturation_rate,pearson,-0.016078199308193923,0.1078958911586219,0.12314204969190544,10000
battery_soc_roll_mean_50,composite_health_score,pearson,0.73983963813359854,0,0,10000
battery_soc_roll_std_50,cumulative_distance_m,pearson,-0.065002629553361557,7.7008041206582129e-11,1.1718614966219019e-10,10000
battery_soc_roll_std_50,wheel_imbalance_score,pearson,-0.0001689603182884092,0.98652124335374136,0.98652124335374136,10000
battery_soc_roll_std_50,lidar_saturation_rate,pearson,-0.094447406052131505,2.9434192271711419e-21,4.9848228847253209e-21,10000
battery_soc_roll_std_50,composite_health_score,pearson,-0.020863141799413301,0.036953228264297901,0.044091920088082721,10000
cumulative_distance_m,wheel_imbalance_score,pearson,0.031980212660675217,0.0013817350795578935,0.0017911380660935656,10000
cumulative_distance_m,lidar_saturation_rate,pearson,0.025636092060330254,0.010356001875802719,0.012643955778596344,10000
cumulative_distance_m,composite_health_score,pearson,-0.73559851569816015,0,0,10000
wheel_imbalance_score,lidar_saturation_rate,pearson,-0.0030079613819035686,0.76359810953224694,0.80987678283723163,10000
wheel_imbalance_score,composite_health_score,pearson,-0.027257610573246101,0.006412122529487788,0.007920857242308444,10000
lidar_saturation_rate,composite_health_score,pearson,-0.22039862356825357,2.8253664719713108e-110,6.5925217679330588e-110,10000
lat,lon,spearman,0.21208923534448959,4.4943433654844144e-102,1.072513757672417e-101,10000
lat,lidar_distance_m,spearman,0.065353042677526493,6.0912661096173761e-11,9.4056314927915366e-11,10000
lat,battery_soc,spearman,0.17927740254787919,5.2865956680499069e-73,1.1328419288678372e-72,10000
lat,wheel_torque_fl,spearman,0.26522676985258647,1.312046795015e-160,3.4441228369143752e-160,10000
lat,wheel_torque_fr,spearman,0.25802681700818059,8.1313432904963555e-152,2.032835822624089e-151,10000
lat,wheel_torque_rl,spearman,0.26942580438314667,7.2771731084187601e-166,2.0107978325893943e-165,10000
